FacilityName,ApplicantProprietor,FacAdd,FacAddSUB,Pcode,Telephone
Epworth Hawthorn,Epworth HealthCare,46-52 Burwood Road,HAWTHORN,3122,03 9415 5777
Epworth Rehabilitation Brighton,Epworth HealthCare,85-91 Wilson Street,BRIGHTON,3186,03 9592 9144
Epworth Rehabilitation Camberwell,Epworth HealthCare,888 Toorak Road,CAMBERWELL,3124,03 9809 2444
Epworth Richmond,Epworth HealthCare,89 Bridge Road,RICHMOND,3121,03 9426 6666
Essendon Private Clinic,IPHoA Management (Essendon) Pty Ltd,35 Rosehill Road,ESSENDON WEST,3040,03 9337 9577
Euroa Health Inc,Euroa Health Inc.,36 Kennedy Street,EUROA,3666,03 5795 0200
Frances Perry House,Ramsay (Affinity Health (FP) Pty Ltd,Cnr Grattan Street & Flemington Road,PARKVILLE,3052,03 9344 5000
Frankston Private Hospital,Healthscope (FPH Operations Pty Ltd),5 Susono Way,FRANKSTON,3199,03 9781 6900
Glenferrie Private Hospital,Ramsay (Glenferrie Private Hospital Pty Ltd),29 Hilda Crescent,HAWTHORN,3122,03 9009 3800
Habitat Therapeutics,Habitat Therapeutics Pty Ltd,117 Helms Street,NEWCOMB,3219,0403 228 986
Heyfield Hospital Incorporated,Heyfield Hospital Incorporated,14 Licola Road,HEYFIELD,3858,03 5139 7979
Holmesglen Private Hospital,Holmesglen Private Hospital,490 South Road,MOORABIN,3189,03 9926 7500
Jessie McPherson Private Hospital,Kitaya Holdings Pty Ltd,246 Clayton Road,CLAYTON,3168,03 9594 2776
John Fawkner Private Hospital,Healthscope Operations Pty Ltd,275 Moreland Road,COBURG,3058,03 9385 2500
Knox Private Hospital,Healthscope (Australian Hospital Care (Knox) Pty Ltd,262 Mountain Highway,WANTIRNA,3152,03 9210 7000
Latrobe Private Hospital,Healthscope Operations Pty Ltd,Cnr Plenty Rd & Kingsbury Drive,BUNDOORA,3083,03 9473 8951
Linacre Private Hospital,Ramsay (HCOA Operations (Australia) Pty Ltd,12 Linacre Road,HAMPTON,3188,03 9598 9666
Malvern Private Hospital,IPHoA Management (Malvern) Pty Ltd,5-9 Wilton Vale Crescent,MALVERN EAST,3145,03 9885 9621
Maryvale Private Hospital,Maryvale Private Hospital Pty Ltd,286 Maryvale Road,MORWELL,3840,03 5132 1200
Masada Private Hospital,Ramsay (Australian Hospital Care (Masada) Pty Ltd,26 Balaclava Road,ST KILDA EAST,3183,03 9038 1300
Melbourne Private Hospital,Healthscope (Melbourne Hospital Pty Ltd),Royal Parade,PARKVILLE,3052,03 8341 3400
Mildura Health Private Hospital,Mildura Private Hospital Fund Ltd,220-228 Thirteenth Street,MILDURA,3500,03 5022 2611
Mitcham Private Hospital,Ramsay (Benchmark Health Care Pty Ltd),27 Doncaster East Road,MITCHAM,3132,03 9210 3222
Monash House Private Hospital,Monash House Private Hospital Pty Ltd,Level 1/271 C layton Road,CLAYTON,3168,03 8394 0700
Monash Surgical Private Hospital,Monash Surgical Private Hospital Pty Ltd,252-256 Clayton Road,CLAYTON,3168,03 8545 8000
Mulgrave Private Hospital,Healthe Care Valley Pty Ltd,Blanton Drive,MULGRAVE,3170,03 9790 9333
Murray Valley Private Hospital,Ramsay Health Care (Victoria) Pty Ltd,Nordsvan Drive,WODONGA,3690,02 6055 3100
Nagambie HealthCare,Nagambie HealthCare Inc,22 Church Street,NAGAMBIE,3608,03 5736 2900
Neerim District Health Service,Neerim District Soldiers? Memorial Hospital Inc,29-39 Main Road,NEERIM SOUTH,3831,03 5628 1226
North Eastern Rehabilitation Centre,Healthscope Operations Pty Ltd,134-144 Ford Street,IVANHOE,3079,03 9474 8900
North Melbourne Renal Care Centre,B. Braun Avitum Australia Pty Ltd,"Level1, 185-187 Boundary Road",NORTH MELBOURNE,3051,03 9321 1900
Northpark Private Hospital,Healthscope Operations Pty Ltd,Cnr Plenty & Greenhills Roads,BUNDOORA,3083,03 9468 0100
Peninsula Private Hospital,Benchmark ? Peninsula Pty Ltd,525 McClelland Drive,LANGWARRIN,3190,03 9788 3466
Ringwood Private Hospital,Healthscope (Australian Hospital Care (Ringwood) Pty Ltd),36 Mount Dandenong Road,RINGWOOD EAST,3135,03 8804 4000
Shepparton Private Hospital,Ramsay (HCOA Operations (Australia) Pty Ltd,20 Fitzgerald Street,SHEPPARTON,3630,03 5832 1211
South Eastern Private Hospital,Healthe Care South Eastern Pty Ltd,Cnr Heatherton Road &Princes Highway,NOBLE PARK,3174,03 9549 6555
St John of God Ballarat Hospital,St John of God Health Care,101 Drummond Street North,BALLARAT,3350,03 5320 2111
St John of God Bendigo Hospital,St John of God Health Care,133 - 145 Lily Street,BENDIGO,3550,03 5434 3434
St John of God Berwick Hospital,St John of God Health Care,75 Kangan Drive and 3 Gibb Street ,BERWICK,3806,03 8784 5000
St John of God Frankston Rehabilitation Hospital,St John of God Health Care,255-265 Cranbourne Road,FRANKSTON,3199,03 9788 3333
St John of God Geelong Hospital,St John of God Health Care,80 Myers Street,GEELONG,3220,03 5226 8800
St John of God Pinelodge Clinic,St John of God Health Care,1480 Heatherton Road,DANDENONG,3175,03 8793 9444
St John of God Warrnambool Hospital,St John of God Health Care,136 Botanic Road,WARRNAMBOOL,3280,03 5564 0600
St Vincent's Private Hospital East Melbourne,St Vincent's Private Hospital Melbourne Limited,159 Grey Street,EAST MELBOURNE,3002,03 9928 6555
St Vincent's Private Hospital Fitzroy,St Vincent's Private Hospital Melbourne Limited,59 Victoria Parade,FITZROY,3065,03 9411 7111
St Vincent's Private Hospital Kew,St Vincent's Private Hospital Melbourne Limited,5 Studley Avenue,KEW,3101,03 9851 8888
St Vincent's Private Hospital Werribee,St Vincent's Private Hospital Melbourne Limited,240 Hoppers Lane,WERRIBEE,3030,03 9231 1706
The Avenue Private Hospital,Ramsay (Australian Hospital Care (The Avenue) Pty Ltd,40 The Avenue,WINDSOR,3181,03 9529 7377
The Bays Hospital,The Bays Hospital Group Inc,Vale Street,MORNINGTON,3931,03 5976 5275
The Geelong Clinic,Healthscope Operations Pty Ltd,98 Townsend Road,ST ALBANS PARK,3219,03 5248 1155
The Hader Clinic,Health Axis Pty. Ltd.,6-8 Townsend Road,ST ALBANS PARK,3219,1800 883 388
The Melbourne Clinic,Healthscope Operations Pty Ltd,130 Church Street,RICHMOND,3121,03 9429 4688
The Melbourne Eastern Private Hospital,IPHoA Management (Mount District) Pty Ltd,157 Scoresby Road,BORONIA,3155,03 9720 3388
The Victoria Clinic,Healthscope Operations Pty Ltd,324 Malvern Road,PRAHRAN,3181,03 9526 0200
The Victorian Rehabilitation Centre,Healthscope (The Victorian Rehabilitation Centre Pty Ltd),499 Springvale Road,GLEN WAVERLEY,3150,03 9566 2777
Vermont Private Hospital,(Nexus) Vermont Private Hospital Pty Ltd,Level 2/645-647 Burwood Highway,VERMONT SOUTH,3133,03 8547 1111
Wangaratta Private Hospital,Ramsay (HCOA Operations (Australia) Pty Ltd,134-150 Templeton Street,WANGARATTA,3677,03 5722 2678
Warringal Private Hospital,Ramsay (HCOA Operations (Australia) Pty Ltd,216 Burgundy Street,HEIDELBERG,3084,03 9274 1300
Waverley Private Hospital,Ramsay (HCOA Operations (Australia) Pty Ltd,343-357 Blackburn Road,MOUNT WAVERLEY,3149,03 9881 7700
Western Private Hospital,Stanlake Private Hospital Pty Ltd,1-9 Marion Street,FOOTSCRAY,3011,03 9318 3177
Windsor Private Hospital,Nexus Windsor Private Holdings Pty Ltd,20 The Avenue,WINDSOR,3181,03 9521 3843
Wyndham Clinic,Wyndham Clinic Pty Ltd,242A Hoppers Lane,WERRIBEE,3030,03 9731 6646
